date,org,release,type,capability_tags,notes,source_url
2022-11-30,OpenAI,ChatGPT (research preview),product,"text;chat_app","Conversational chat assistant made broadly accessible.","https://openai.com/index/chatgpt/"
2023-03-14,OpenAI,GPT-4,model,"text;vision_in;reasoning","Described as a multimodal model with image input + stronger reasoning than GPT-3.5.","https://openai.com/fi-FI/index/gpt-4-research/"
2023-07-11,Anthropic,Claude 2,model,"text;chat_app;long_context","Long-context Claude 2 release.","https://www.anthropic.com/news/claude-2"
2023-07-18,Meta,Llama 2,model,"text;open_weights","Open(-ish) weights Llama 2 release.","https://about.fb.com/news/2023/07/llama-2/"
2023-09-25,OpenAI,ChatGPT can now see/hear/speak,product,"vision_in;audio_in;audio_out;chat_app","Adds image understanding + voice conversation capabilities to ChatGPT.","https://openai.com/index/chatgpt-can-now-see-hear-and-speak/"
2023-09-27,Mistral,Mistral 7B,model,"text;open_weights","Open-weight base model release (7B).","https://mistral.ai/news/announcing-mistral-7b"
2023-11-06,OpenAI,DevDay: GPT-4 Turbo + Assistants API,platform,"tool_use;long_context;api","Developer platform push: assistants/tooling + longer-context GPT-4 Turbo era.","https://openai.com/index/new-models-and-developer-products-announced-at-devday/"
2023-12-06,Google,Introducing Gemini,model,"multimodal;reasoning","Gemini model family introduction (multimodal).","https://blog.google/intl/en-africa/company-news/technology/introducing-gemini-our-largest-and-most-capable-ai-model/"
2023-12-11,Mistral,Mixtral 8x7B,model,"text;open_weights;moe","Open-weight MoE (mixture-of-experts) release.","https://mistral.ai/news/mixtral-of-experts"
2024-02-15,Google,Gemini 1.5 Pro,model,"multimodal;long_context","Gemini 1.5 Pro announcement emphasizing much longer context windows.","https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/"
2024-02-26,Mistral,Mistral Large,model,"text;frontier","Flagship closed-weight Mistral model release.","https://mistral.ai/news/mistral-large"
2024-03-04,Anthropic,Claude 3 model family,model,"text;vision_in;long_context","Claude 3 family (Opus/Sonnet/Haiku) with vision capabilities.","https://www.anthropic.com/news/claude-3-family"
2024-04-17,Mistral,Mixtral 8x22B,model,"text;open_weights;moe","Larger open-weight MoE release.","https://mistral.ai/en/news/mixtral-8x22b"
2024-04-18,Meta,Meta AI assistant built with Llama 3,product,"text;open_weights","Meta AI assistant launch built with Llama 3.","https://about.fb.com/news/2024/04/meta-ai-assistant-built-with-llama-3/"
2024-05-13,OpenAI,GPT-4o,model,"multimodal;vision_in;audio_in;audio_out;chat_app;api","Real-time multimodal model (text+vision+audio).","https://openai.com/index/gpt-4o-and-more-tools-to-chatgpt-free/"
2024-06-21,Anthropic,Claude 3.5 Sonnet,model,"text;vision_in;reasoning","Claude 3.5 Sonnet release + improved vision reasoning.","https://www.anthropic.com/news/claude-3-5-sonnet"
2024-07-23,Meta,Llama 3.1,model,"text;open_weights;long_context","Llama 3.1 release (open weights; longer context + model lineup expansion).","https://about.fb.com/news/2024/07/open-source-ai-is-the-path-forward/"
2024-07-24,Mistral,Mistral Large 2,model,"text;frontier;long_context","Updated flagship Mistral Large 2 release.","https://mistral.ai/en/news/mistral-large-2407"
2024-09-12,OpenAI,o1-preview,model,"text;reasoning;api","Reasoning-focused model series designed to spend more time thinking.","https://openai.com/index/introducing-openai-o1-preview/"
2024-09-17,Mistral,Pixtral 12B,model,"vision_in;text;open_weights","Open-weight multimodal (vision) model release.","https://mistral.ai/en/news/pixtral-12b"
2024-09-25,Meta,Llama 3.2 + Meta AI product updates,product,"vision_in;text;open_weights;edge","Connect 2024 product updates featuring Llama 3.2 and multimodal/edge models.","https://about.fb.com/news/2024/09/metas-ai-product-news-connect/"
2024-10-22,Anthropic,Claude 3.5 models + computer use,product,"computer_use;agents;tool_use","Adds computer-use capability (UI control) and updates to the 3.5 family.","https://www.anthropic.com/news/3-5-models-and-computer-use"
2024-12-11,Google,Gemini 2.0,model,"multimodal;tool_use;agents","Gemini 2.0 update emphasizing agentic/multimodal capabilities.","https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/"
2025-03-12,Google,Gemini Robotics,product,"robotics;agents","Gemini Robotics: applying Gemini to physical-world robotics.","https://deepmind.google/discover/blog/gemini-robotics-brings-ai-into-the-physical-world/"
2025-04-29,Meta,Meta AI app (built with Llama 4),product,"multimodal;open_weights;agents","Meta AI app launch referencing Llama 4 as the underlying model family.","https://about.fb.com/news/2025/04/introducing-meta-ai-app/"
2025-07-17,OpenAI,ChatGPT Agent,product,"computer_use;agents;tool_use","Agentic ChatGPT experience (multi-step tasks + computer use).","https://help.openai.com/en/articles/11752874"
2025-08-07,OpenAI,GPT-5 for developers,model,"text;reasoning;api;tool_use","GPT-5 release for API/developer usage.","https://openai.com/index/introducing-gpt-5-for-developers/"
2025-11-18,Google,Gemini 3,model,"multimodal;reasoning;agents","Gemini 3 model release.","https://blog.google/products/gemini/gemini-3"
2025-12-02,Mistral,Mistral 3,model,"multimodal;open_weights;frontier","Open-source multimodal frontier model family release.","https://mistral.ai/news/mistral-3"
2026-02-17,Anthropic,Claude Sonnet 4.6,model,"text;reasoning;agents","Latest Sonnet update (mid-tier flagship).","https://www.anthropic.com/news/claude-sonnet-4-6"
2026-03-05,OpenAI,GPT-5.4,model,"multimodal;reasoning;agents;api","GPT-5.4 release (flagship).","https://openai.com/index/gpt-5-4/"
